,HeadLine,Sentiment,Tickers,Sector,Industery,Change,Date,URL
17,Ford and another unnamed investor reportedly plan to dump up to 23M Rivian shares,-1,"F, RIVN",Consumer Cyclical,Auto Manufacturers,-2.2023379263943266,2022-05-07T23:20:27-04:00,https://seekingalpha.com/news/3834721-ford-and-other-unnamed-investor-to-sell-up-to-23-million-rivian-shares
18,Energy up nearly 50% YTD as crude oil climbs to $110 per barrel,-1,"XLE, MTR, IAG",,,2.980627950740944,2022-05-07T19:30:00-04:00,https://seekingalpha.com/news/3834695-energy-up-nearly-50-ytd-as-crude-oil-climbs-to-110-per-barrel
19,Canada's antitrust regulator plans to block Rogers $16B takeover of Shaw,-1,"SJR, RCI",Communication Services,Telecom Services,0.9345810435026136,2022-05-07T16:02:55-04:00,https://seekingalpha.com/news/3834719-canadas-antitrust-regulator-plans-to-block-rogers-16b-takeover-of-shaw
20,"Pinterest, defensive telecoms lead the week's gainers in Communications stocks",-1,"PINS, LUMN, DISH, NWSA",Communication Services,Internet Content & Information,0.2651408551310963,2022-05-07T16:01:00-04:00,https://seekingalpha.com/news/3834697-pinterest-defensive-telecoms-lead-the-weeks-gainers-in-communications-stocks
21,Teladoc is down 78% over the last year. Can it recover as COVID concerns subside?,-1,TDOC,Healthcare,Health Information Services,-6.0393196722874904,2022-05-07T16:00:00-04:00,https://seekingalpha.com/news/3834692-teladoc-is-down-78-over-the-last-year-can-it-recover-as-covid-concerns-subside
22,"Earnings play kingmaker as Atkore races to top industrial gainer, Bloom Energy picks #1 loser tag",-1,"ATKR, BE",Industrials,Electrical Equipment & Parts,1.6392003087527973,2022-05-07T12:35:58-04:00,https://seekingalpha.com/news/3834717-earnings-play-kingmaker-as-atkore-races-to-top-industrial-gainer-bloom-energy-picks-1-loser-tag
23,"California dreaming for DraftKings, FanDuel and Barstool with sports betting teed up on the ballot",-1,DKNG,Consumer Cyclical,Gambling,-8.93351800096649,2022-05-07T11:15:00-04:00,https://seekingalpha.com/news/3834718-california-dreaming-for-draftkings-fanduel-and-barstool-with-sports-betting-teed-up-on-the-ballot
24,"Financial exchanges' April trading volume strengthened Y/Y, as investors scramble for yield",1,"CME, ICE, MKTX, TW",Financial Services,Financial Data & Stock Exchanges,-1.3597829498650738,2022-05-07T11:13:00-04:00,https://seekingalpha.com/news/3834063-financial-exchanges-april-trading-volume-strengthened-as-volatility-becomes-new-normal
25,Apartment REITs saw a drop last month amid April national multifamily rent growth trends showing slowdown,-1,,,,,2022-05-07T11:07:00-04:00,https://seekingalpha.com/news/3834535-apartment-reits-saw-a-drop-last-month-amid-april-national-multifamily-rent-growth-trends-showing-slowdown
26,AMLP and YINN among ETF weekly movers,0,,,,,2022-05-07T10:30:43-04:00,https://seekingalpha.com/news/3834703-amlp-and-yinn-among-etf-weekly-movers
27,"Unum leads week's gainers, while ICE falls after $13B deal: Financials roundup",-1,UNM,Financial Services,Insurance—Life,13.788785794167735,2022-05-07T10:10:00-04:00,https://seekingalpha.com/news/3834696-unum-leads-weeks-gainers-while-ice-falls-after-13b-deal-financials-roundup
28,Tech Roundup: Elon Musk's Twitter deal keeps making waves,0,"TWTR, AAPL, MSFT, ROKU",Communication Services,Internet Content & Information,-1.1119963592214677,2022-05-07T10:00:00-04:00,https://seekingalpha.com/news/3834545-tech-roundup-elon-musks-twitter-deal-keeps-making-waves
29,Moderna urges court to dismiss patent claims on COVID-19 shot,-1,MRNA,Healthcare,Biotechnology,-5.365448631699666,2022-05-07T09:25:34-04:00,https://seekingalpha.com/news/3834716-moderna-urges-court-to-dismiss-patent-claims-on-covid-19-shot
30,"Materials Sector Weekly Round-up: Hudson, Livent top list after strong Q1; Iamgold drops on capex pressure",-1,,,,,2022-05-07T09:07:47-04:00,https://seekingalpha.com/news/3834715-materials-sector-weekly-round-up-hudson-livent-top-list-after-strong-q1-iamgold-drops-on-capex-pressure
31,"Icahn reaches deal with Southwest Gas to oust CEO, add up to four directors",0,SWX,Utilities,Utilities—Regulated Gas,0.34341008431983955,2022-05-06T21:44:16-04:00,https://seekingalpha.com/news/3834701-icahn-reaches-deal-with-southwest-to-oust-ceo-add-up-to-four-directors
32,Starbucks hit with government labor complaint alleging 200 violations,-1,SBUX,Consumer Cyclical,Restaurants,-1.239038038556406,2022-05-06T19:08:30-04:00,https://seekingalpha.com/news/3834699-starbucks-hit-with-government-labor-complaint-alleging-200-violations
33,Enterprise Financial Services announces stock buyback program,0,EFSC,Financial Services,Banks—Regional,-1.0810886045889423,2022-05-06T17:53:25-04:00,https://seekingalpha.com/news/3834691-enterprise-financial-services-announces-stock-buyback-program
34,"RGNX, FATE and ALVR are among after hours",0,,,,,2022-05-06T17:50:34-04:00,https://seekingalpha.com/news/3834694-rgnx-fate-and-alvr-are-among-after-hours
35,"Hot Stocks: Packaged food stocks rise; UAA, FUBO fall on earnings; NRG, UNM advance",1,UAA,Consumer Cyclical,Apparel Manufacturing,-23.79285953538509,2022-05-06T17:44:33-04:00,https://seekingalpha.com/news/3834690-hot-stocks-packaged-food-stocks-rise-uaa-fubo-fall-on-earnings-nrg-unm-advance
36,Cogent Biosciences files for $300M mixed shelf offering,0,COGT,Healthcare,Biotechnology,-3.6927621965190283,2022-05-06T17:41:25-04:00,https://seekingalpha.com/news/3834689-cogent-biosciences-files-for-300m-mixed-shelf-offering
37,"Viatris files for mixed shelf offering, size not disclosed",0,VTRS,Healthcare,Drug Manufacturers—Specialty & Generic,-0.9950286524563201,2022-05-06T17:38:21-04:00,https://seekingalpha.com/news/3834686-viatris-files-for-mixed-shelf-offering-size-not-disclosed
38,Allakos announces $250M shelf offering,-1,ALLK,Healthcare,Biotechnology,-3.954798530910497,2022-05-06T17:36:03-04:00,https://seekingalpha.com/news/3834687-allakos-announces-250m-shelf-offering
39,"Loma Negra net income of $41M, revenue of $171M misses by $1.61M",1,LOMA,Basic Materials,Building Materials,-1.7699097866309854,2022-05-06T17:35:21-04:00,https://seekingalpha.com/news/3834685-loma-negra-net-income-of-41m-revenue-of-171m-misses-by-161m
